countryCode,thematicIdIdentifier,thematicIdIdentifierScheme,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,monitoringSiteName,waterBodyIdentifier,waterBodyIdentifierScheme,waterBodyName,specialisedZoneType,surfaceWaterBodyTypeCode,rbdIdentifier,rbdIdentifierScheme,confidentialityStatus,lat,lon,cArea
FR,FRHR03021000,euMonitoringSiteCode,FRHR03021000,euMonitoringSiteCode,L'AUBE A BAUDEMENT 1,FRHR24,euSurfaceWaterBodyCode,L AUBE DU CONFLUENT DE LA VOIRE  EXCLU  AU CONFLUENT DE LA SEINE  EXCLU,riverWaterBody,G9,FRH,euRBDCode,F,48.57322,3.77745,99.707
FR,FRHR03018951,euMonitoringSiteCode,FRHR03018951,euMonitoringSiteCode,L'AUBE A VINETS 1,FRHR24,euSurfaceWaterBodyCode,L AUBE DU CONFLUENT DE LA VOIRE  EXCLU  AU CONFLUENT DE LA SEINE  EXCLU,riverWaterBody,G9,FRH,euRBDCode,F,48.53038,4.23436,99.707
FR,FRGR04153700,euMonitoringSiteCode,FRGR04153700,euMonitoringSiteCode,LOING À CHANTONNAY,FRGR0573,euSurfaceWaterBodyCode,LE LOING ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC LE GRAND LAY,riverWaterBody,P12-A,FRG,euRBDCode,F,46.66943,-0.97138,98.924
FR,FRGR04153300,euMonitoringSiteCode,FRGR04153300,euMonitoringSiteCode,GUE CHATENAY À POIROUX,FRGR1896,euSurfaceWaterBodyCode,LE GAI CHATENAY ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA MER,riverWaterBody,TP12-A,FRG,euRBDCode,F,46.51144,-1.51978,98.92
FR,FR04117400,eionetMonitoringSiteCode,FR04117400,eionetMonitoringSiteCode,NON DEFINI PECARDIERE,FRGR0462B,euSurfaceWaterBodyCode,L'HUISNE DEPUIS LA FERTE-BERNARD JUSQU'A LA CONFLUENCE AVEC LA SARTHE,riverWaterBody,M9,FRG,euRBDCode,F,48.0416,0.40664,98.669
FR,FRGR04118000,euMonitoringSiteCode,FRGR04118000,euMonitoringSiteCode,HUISNE À LE MANS,FRGR0462B,euSurfaceWaterBodyCode,L'HUISNE DEPUIS LA FERTE-BERNARD JUSQU'A LA CONFLUENCE AVEC LA SARTHE,riverWaterBody,M9,FRG,euRBDCode,F,47.99666,0.23608,98.669
FR,FRHR03219780,euMonitoringSiteCode,FRHR03219780,euMonitoringSiteCode,LA RISLE A AMBENAY 2,FRHR266,euSurfaceWaterBodyCode,LA RISLE DE SA SOURCE AU CONFLUENT DE LA CHARENTONNE  EXCLU,riverWaterBody,M9,FRH,euRBDCode,F,48.83888,0.72321,98.467
FR,FRDR06154660,euMonitoringSiteCode,FRDR06154660,euMonitoringSiteCode,PETIT BUECH A LA ROCHE DES ARNAUDS,FRDR288B,euSurfaceWaterBodyCode,"LE PETIT BUECH, LE BEOUX, ET LE TORRENT DE MARAISE",riverWaterBody,GMP7,FRD,euRBDCode,F,44.57093,5.98067,98.391
FR,FRB1R02106500,euMonitoringSiteCode,FRB1R02106500,euMonitoringSiteCode,LA MEUSE À BASSONCOURT,FRB1R470,euSurfaceWaterBodyCode,MEUSE 1,riverWaterBody,TP10,FRB1,euRBDCode,F,48.06817,5.5438,98.12
FR,FRFR05077000,euMonitoringSiteCode,FRFR05077000,euMonitoringSiteCode,LA TRAVE,FRFR54,euSurfaceWaterBodyCode,LE CIRON DE SA SOURCE AU CONFLUENT DE LA GARONNE,riverWaterBody,M13,FRF,euRBDCode,F,44.41047,-0.34276,96.826
FR,FRGR04168140,euMonitoringSiteCode,FRGR04168140,euMonitoringSiteCode,GOUESSANT À COETMIEUX,FRGR0038B,euSurfaceWaterBodyCode,LE GOUESSANT ET SES AFFLUENTS DEPUIS LAMBALLE JUSQU'A LA MER,riverWaterBody,P12-B,FRG,euRBDCode,F,48.48467,-2.56846,96.652
FR,FRGR04181960,euMonitoringSiteCode,FRGR04181960,euMonitoringSiteCode,JET À ELLIANT,FRGR0083,euSurfaceWaterBodyCode,LE JET ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'ODET,riverWaterBody,P12-B,FRG,euRBDCode,F,48.00166,-3.89445,96.319
FR,FRFR05229000,euMonitoringSiteCode,FRFR05229000,euMonitoringSiteCode,GAILLERES,FRFR228,euSurfaceWaterBodyCode,LE MIDOUR DU LIEU-DIT MONTAUT AU CONFLUENT DE LA DOUZE,riverWaterBody,P14,FRF,euRBDCode,F,43.89686,-0.39036,95.951
FR,FRFR05229160,euMonitoringSiteCode,FRFR05229160,euMonitoringSiteCode,LA JEANNINE,FRFR228,euSurfaceWaterBodyCode,LE MIDOUR DU LIEU-DIT MONTAUT AU CONFLUENT DE LA DOUZE,riverWaterBody,P14,FRF,euRBDCode,F,43.6473,0.06555,95.951
FR,FRGR04074647,euMonitoringSiteCode,FRGR04074647,euMonitoringSiteCode,ECHANDON À SAINT-BRANCHS,FRGR0355,euSurfaceWaterBodyCode,L'ECHANDON ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'INDRE,riverWaterBody,P9,FRG,euRBDCode,F,47.24752,0.81875,95.812
FR,FRAR01100000,euMonitoringSiteCode,FRAR01100000,euMonitoringSiteCode,L' AUTHIE À DOMPIERRE SUR AUTHIE (80),FRAR05,euSurfaceWaterBodyCode,AUTHIE,riverWaterBody,M9-A,FRA,euRBDCode,F,50.30452,1.91858,95.64
FR,FRDR06137560,euMonitoringSiteCode,FRDR06137560,euMonitoringSiteCode,DORON A TERMIGNON,FRDR361A,euSurfaceWaterBodyCode,L ARC DE LA SOURCE AU RUISSEAU D AMBIN INCLUS ET DORON DE TERMIGNON,riverWaterBody,MP2,FRD,euRBDCode,F,45.28408,6.81259,95.565
FR,FRGR04162958,euMonitoringSiteCode,FRGR04162958,euMonitoringSiteCode,LOISANCE À SAINT-OUEN-LA-ROUERIE,FRGR0020,euSurfaceWaterBodyCode,LA LOISANCE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC LE COUESNON,riverWaterBody,P12-B,FRG,euRBDCode,F,48.42795,-1.4359,95.431
FR,FRHR03032000,euMonitoringSiteCode,FRHR03032000,euMonitoringSiteCode,L'YONNE A MONTEREAU-FAULT-YONNE 1,FRHR70A,euSurfaceWaterBodyCode,L YONNE DU CONFLUENT DE L ARMANCON  EXCLU  AU CONFLUENT DE LA SEINE  EXCLU,riverWaterBody,G9/10,FRH,euRBDCode,F,48.38743,2.95947,94.27
FR,FRHR03030000,euMonitoringSiteCode,FRHR03030000,euMonitoringSiteCode,L'YONNE A VERON 1,FRHR70A,euSurfaceWaterBodyCode,L YONNE DU CONFLUENT DE L ARMANCON  EXCLU  AU CONFLUENT DE LA SEINE  EXCLU,riverWaterBody,G9/10,FRH,euRBDCode,F,48.13407,3.29446,94.27
