euSurfaceWaterBodyCode,cArea,cLength
FRAR26,,46.324
FRB1R477,,104.827
FRB1R510,,7.385
FRB1R514,,10.982
FRB1R515,,30.552
FRB1R517,,7.567
FRB1R523,,8.198
FRB1R535,,7.094
FRB1R555,,4.939
FRB1R575,,16.966
FRB1R577,,6.011
FRB1R591,,3.01
FRB1R597,,6.426
FRB2R15,,11.442
FRCL22,1.082,
FRCL31,0.66,
FRCR120,,12.375
FRCR14,,16.775
FRCR149,,9.286
FRCR150,,34.078
FRCR20,,51.533
FRCR200,,8.958
FRCR211,,65.623
FRCR212,,64.198
FRCR23,,11.831
FRCR260,,23.454
FRCR28,,12.879
FRCR30,,14.1
FRCR317,,8.356
FRCR330,,6.3
FRCR365,,5.923
FRCR380,,212.998
FRCR384,,6.182
FRCR395,,20.312
FRCR406,,13.306
FRCR422,,10.532
FRCR438,,14.701
FRCR453,,34.875
FRCR457,,21.633
FRCR458,,50.714
FRCR464,,11.199
FRCR465,,28.079
FRCR65,,14.846
FRCR74,,7.584
FRCR95,,18.076
FRDL112,1.185,
FRDL113,0.614,
FRDL119,7.277,
FRDL56,1.151,
FRDR10044,,40.657
FRDR10076,,9.206
FRDR10109,,29.664
FRDR10124,,8.038
FRDR10156,,5.856
FRDR10185,,10.774
FRDR10186,,8.255
FRDR10200,,9.753
FRDR10207,,9.22
FRDR10234,,11.172
FRDR10240,,28.869
FRDR10248,,9.477
FRDR10260,,14.215
FRDR10276,,3.875
FRDR10280,,6.898
FRDR10309,,6.152
FRDR10323,,9.227
FRDR10379,,5.595
FRDR10398,,10.752
FRDR10404,,7.163
FRDR10406,,14.559
FRDR10415,,9.87
FRDR10417,,6.957
FRDR10425,,2.626
FRDR10426,,6.782
FRDR10437,,6.46
FRDR10489,,9.458
FRDR10496,,7.688
FRDR10517,,9.442
FRDR10524,,8.947
FRDR10527,,2.667
FRDR10541,,15.928
FRDR10588,,26.04
FRDR10596,,10.408
FRDR10621,,18.593
FRDR10639,,16.421
FRDR10663,,2.779
FRDR10719,,8.297
FRDR10722,,8.212
FRDR10775,,3.783
FRDR10810,,16.797
FRDR10813,,11.005
FRDR10819,,18.66
FRDR10884,,8.109
FRDR10899,,8.571
FRDR10902,,7.4
FRDR10908,,4.193
FRDR10955,,7.556
FRDR10979,,8.608
FRDR10980,,16.825
FRDR11023,,9.138
FRDR11059,,42.31
